2;1;Les contes populaires russes;Afanassiev;Maisonneuve & Larose;1992;Lise Gruel-Apert;1
3;2;Contes Merveilleux des pays de France;;IONA;1991;Dagmar Fink;2
4;3;Contes (Grimm);Grimm;Flammarion;1986;Armel Guerne;3
5;4;Le chien boiteux et autres contes;G.O. Hyltén-Cavallius et G. Stephens;José Corti;1999;Elena Balzamo;4
6;5;La cendrouse et autres contes du Jutland;Evald Tang Kristensen;José Corti;1999;Jean Renaud;5
7;6;Océan des rivières de contes;Somadeva;Gallimard La Pleïade;1997;J.P.Osier + …;6
8;7;Les nuits facétieuses;G. F. Straparola;José Corti;1999;Joël Gayraud;7
9;8;Contes et Légendes de Bretagne;François Cadic;Presse Universitaire de Rennes - Terre de Brume;1998;;8
10;9;Contes Populaires de la Basse-Bretagne;F.M.Luzel;Presses Universitaires de rennes - Terre de Brume;1996;;9
11;10;Contes Retrouvés;F.M.Luzel;Presses Universitaires de rennes - Terre de Brume;1995;;10
12;11;Les Contes du vieux Cazaux;J.F.Bladé;Fédérop;1995;;11
13;12;Le Conte des Contes;G.Basile;Circé;1995;;12
14;13;CPHB - Contes Merveilleux;P. Sébillot;Terre de Brume Editions;1998;;13
15;14;Contes de Terre et de Mer;P.Sébillot;Editions l'ancre marine;1998;;14
16;15;CPHB - Contes des paysans et des pêcheurs;P.Sébillot;Terre de Brumes Editions;1999;;15
17;16;Contes de landes et de grèves;P.Sébillot;Terre de Brumes Editions;1997;;16
18;17;CLRPF - Guyenne Gascogne;C. Seignolle;Omnibus;1978;;17
19;18;Contes Populaires du Dauphiné Tome1;Ch. Joisten;Glénat;1991;;18
20;19;Nouvelles Veillées Bretonnes;F.M.Luzel;Presses Universitaires de Rennes - Terre de brume;1995;;19
21;20;Contes du Boulanger;F.M.Luzel;Presses Universitaires de Rennes - Terre de brume;1995;;20
22;21;Contes Inédits;F.M.Luzel;Presses Universitaires de Rennes - Terre de brume;1995;;21
23;22;Contes Russes;Afanassiev;Maisonneuve & Larose;1978;Edina Bozoki;22
24;23;Contes de L'Ille et Vilaine;Adolphe Orain;Maisonneuve & Larose;?;;23
