ID;Author;Country;Title;Url;;;
1;"AA n.s.			";; = American Anthropologist, new series. Washington, 1899 ff.;http://onlinebooks.library.upenn.edu/webbin/serial?id=amanthro;;;
2;;;;;;;
3;"AA o.s.			";; = American Anthropologist, old series. 11 vols. Washington, 1888-1898.;http://onlinebooks.library.upenn.edu/webbin/serial?id=amanthro;;;
4;;;;;;;
5;"*Aarne, Antti.		";;Vergleichende M‰rchenforschungen (MSFO XXV). Helsingfors, 1907.;https://de.wikisource.org/wiki/Vergleichende_M%C3%A4rchenforschungen ;;;
6;;;;;;;
7;Africa. London, 1928 ff.;;;;;;
8;;;;;;;
9;"Alarcon, J. de Canedo	and Ricardo Pittini.";;El Chaco Paraguayo y sus tribos. Turin, 1924.;;;;
10;;;;;;;
11;"*Alexander N. Am.	= Alexander, H. B.";;North American Mythology (The Mythology of all Races X). Boston, 1916.;https://archive.org/details/in.ernet.dli.2015.282275;;;
12;"*Alexander N. Am.	= Alexander, H. B.";;"				*Lat. Am. = Latin American Mythology (The Mythology of all Races XI). Boston, 1920.";http://archive.org/stream/themythologyofal11alexuoft#page/n9/mode/2up;;;
13;;;;;;;
14;*Alphabet ;; = Banks, M. M. An Alphabet of Tales, an English 15th century translation of the Alphabetum Narrationum of Etienne de Besanáon (EETS Nos. 126, 127). 2 vols. London, 1904--05.;https://archive.org/details/alphabetoftalese01londuoft;;;
15;;;;;;;
16;"*Ananikian, Mardiros H.	";;Armenian Mythology (The Mythology of all Races VII). Boston, 1925.;https://archive.org/details/themythologyofal07alexuoft;;;
17;;;;;;;
18;"*Anderson, W.		";;Nordasiatische Flutsagen (Acta et Commentationes Universitatis Dorpatensis B IV iii [1923]).;;;;
19;;;;;;;
20;"Andree, R.		";;Die Flutsagen. Braunschweig, 1891.;;;;
21;"Andree, R.		";;"				Ethnographische Parallelen und Vergleiche. Stuttgart, 1878.";;;;
22;"				Neue Folge, Leipzig, 1889.";;;;;;
23;;;;;;;
24;"*Andrejev, A. N.	";;Ukazatel' Skazocnik Sjuzhetov po Systeme Aarne (Gosud. russ. geogr. obscestvo, otd. etnogr. skazocnaya komissiya). Leningrad, 1929.;;;;
25;;;;;;;
26;"Anesaki, Masaharu.	";;Japanese Mythology (The Mythology of all Races VIII). Boston, 1928.;http://archive.org/stream/mythologyofallra08gray#page/n13/mode/2up;;;
27;;;;;;;
28;Anssaga Bogsveigis (FAS II 324 ff.).;;;;;;
29;;;;;;;
30;"*Arfert, P.		";;Das Motiv von der unterschobenen Braut. Rostock, 1897.;;;;
31;;;;;;;
32;"Argonautica of Apollonius Rhodius	";;(ed. G. W. Mooney). London, 1912.;;;;
33;;;;;;;
34;"Arnason, Jon.		";;Islenzkar pjoethsîgur og ëfintyri. 2 vols. Leipzig, 1862--64.;;;;
35;;;;;;;
36;"Arv.				";;(Tidskrift for Nordisk Folkminnesforskning). Uppsala, 1944 ff.;;;;
37;;;;;;;
38;"ASB				";; = Altnordische Saga-Bibliothek (ed. G. Cederschi"ld and E. Mogk). 18 vols. Halle a. S., 1892--1929.;;;;
39;;;;;;;
40;"Asbjornsen, P. Chr .	and Moe, J. Norske";S;Folkeeventyr. 3d edition. Kristiania, 1896.;;;;
41;;;;;;;
42;Asmundarsaga Kappabana (FAS II 460 ff.).;;;;;;
43;;;;;;;
44;"Auning, R.		";;Ueber den lettischen Drachenmythus (Magazin der lettischlitterÑrischen Gesellschaft XIX 1--128). Mitau, 1891.;;;;
45;;;;;;;
46;"Azov, R. F. 		and D. C. Phillott.";;"Some Arab Folktales from Hazramut. Journal and Proceedings, Asiatic Society of Bengal (n. s.), II, 399-439, III, 645-680."; ;;;
47;;;;;;;
48;;;;;;;
49;"Babrius			";; = Babrii Fabulae Aesopeae (ed. O. Crusius). Lipsiae, 1897. Baldus, Herbert. Ensaios de Etnologia Brasileira. Sao Paulo, 1937.;;;;
50;;;;;;;
51;"Balys, Jonas.		";;*Ghosts and Men, Lithuanian Folk Legends about the Dead (Sub-title: A Treasury of Lithuanian Folklore I). Bloomington, Indiana, 1951.;;;;
52;Balys, Jonas.;;"				*Lithuanian Historical Legends. Chicago, 1949.";;;;
53;Balys, Jonas.;;"				*Motif-Index of Lithuanian Narrative Folklore. Tautosakos Darbai Vol. II, Publication of the Lithuanian Folklore Archives. Kaunas, 1936.";;;;
54;Balys, Jonas.;;"				*Lithuanian Folk Legends. Publication of the Lithuanian Folklore Archives I. Kaunas, 1940.";;;;
55;;;;;;;
56;Balzac, HonorÈ de.;F;Contes drolatiques. Paris (many editions).;;;;
57;;;;;;;
58;"BAM				";; = Bulletin of the American Museum of Natural History (New York).;http://digitallibrary.amnh.org/handle/2246/7;;;
59;;;;;;;
60;"Baring-Gould, S.	";;Curious Myths of the Middle Ages. 2 vols. London, 1868.;http://www.gutenberg.org/files/36127/36127-h/36127-h.htm;;;
61;;;;;;;
62;"*Barker, W. H. 	and Sinclair, C.";;West African Folk-tales. London, 1917.;https://archive.org/details/westafricanfolkt00barkrich;;;
63;;;;;;;
64;"Barrett, W. E. H.	";;A'Kikuyu Fairy Tales (Man XII, XIII).;https://archive.org/details/mananth13a14royauoft;;;
65;;;;;;;
66;"Barroso, Gustavo.	";;Mythes, Contes et LÈgendes des Indiens: Folklore Bresilien. Paris, 1930.;;;;
67;;;;;;;
68;"Barto, Philip Stephan.	";;TannhÑuser and the Mountain of Venus. New York, 1916.;;;;
69;;;;;;;
70;"Basden, G. T.		";;Among the Ibos of Nigeria. London, 1921.;https://archive.org/details/amongibosofniger00basd;;;
